base,bits,N,runtime_seconds,success,factor,notes
raw,20,370817,0.0471,True,601,Z3 solved (smt_convolution_raw)
raw,24,8998631,0.3518,True,2963,Z3 solved (smt_convolution_raw)
raw,28,127285073,0.1168,True,10477,Z3 solved (smt_convolution_raw)
raw,32,2369625997,2.2084,True,48541,Z3 solved (smt_convolution_raw)
2,20,370817,0.0246,True,601,Z3 solved (smt_convolution_b2)
2,24,8998631,0.0853,True,2963,Z3 solved (smt_convolution_b2)
2,28,127285073,0.1658,True,10477,Z3 solved (smt_convolution_b2)
2,32,2369625997,2.9749,True,48541,Z3 solved (smt_convolution_b2)
3,20,370817,0.0212,True,601,Z3 solved (smt_convolution_b3)
3,24,8998631,0.0317,True,2963,Z3 solved (smt_convolution_b3)
3,28,127285073,0.1544,True,10477,Z3 solved (smt_convolution_b3)
3,32,2369625997,2.8066,True,48541,Z3 solved (smt_convolution_b3)
4,20,370817,0.033,True,601,Z3 solved (smt_convolution_b4)
4,24,8998631,0.0453,True,2963,Z3 solved (smt_convolution_b4)
4,28,127285073,0.3311,True,10477,Z3 solved (smt_convolution_b4)
4,32,2369625997,2.2186,True,48541,Z3 solved (smt_convolution_b4)
5,20,370817,0.0292,True,601,Z3 solved (smt_convolution_b5)
5,24,8998631,0.1228,True,2963,Z3 solved (smt_convolution_b5)
5,28,127285073,0.1556,True,10477,Z3 solved (smt_convolution_b5)
5,32,2369625997,5.7234,True,48541,Z3 solved (smt_convolution_b5)
6,20,370817,0.0325,True,601,Z3 solved (smt_convolution_b6)
6,24,8998631,0.0817,True,2963,Z3 solved (smt_convolution_b6)
6,28,127285073,0.2968,True,10477,Z3 solved (smt_convolution_b6)
6,32,2369625997,2.6121,True,48541,Z3 solved (smt_convolution_b6)
7,20,370817,0.0367,True,601,Z3 solved (smt_convolution_b7)
7,24,8998631,0.1052,True,2963,Z3 solved (smt_convolution_b7)
7,28,127285073,0.5497,True,10477,Z3 solved (smt_convolution_b7)
7,32,2369625997,3.2451,True,48541,Z3 solved (smt_convolution_b7)
8,20,370817,0.025,True,601,Z3 solved (smt_convolution_b8)
8,24,8998631,0.0446,True,2963,Z3 solved (smt_convolution_b8)
8,28,127285073,0.5294,True,10477,Z3 solved (smt_convolution_b8)
8,32,2369625997,1.3809,True,48541,Z3 solved (smt_convolution_b8)
9,20,370817,0.0283,True,601,Z3 solved (smt_convolution_b9)
9,24,8998631,0.0433,True,2963,Z3 solved (smt_convolution_b9)
9,28,127285073,0.3177,True,10477,Z3 solved (smt_convolution_b9)
9,32,2369625997,1.8979,True,48541,Z3 solved (smt_convolution_b9)
10,20,370817,0.0218,True,601,Z3 solved (smt_convolution_b10)
10,24,8998631,0.0952,True,2963,Z3 solved (smt_convolution_b10)
10,28,127285073,0.1235,True,10477,Z3 solved (smt_convolution_b10)
10,32,2369625997,2.1037,True,48541,Z3 solved (smt_convolution_b10)
12,20,370817,0.0305,True,601,Z3 solved (smt_convolution_b12)
12,24,8998631,0.0497,True,2963,Z3 solved (smt_convolution_b12)
12,28,127285073,0.178,True,10477,Z3 solved (smt_convolution_b12)
12,32,2369625997,2.6078,True,48541,Z3 solved (smt_convolution_b12)
16,20,370817,0.0256,True,601,Z3 solved (smt_convolution_b16)
16,24,8998631,0.0421,True,2963,Z3 solved (smt_convolution_b16)
16,28,127285073,0.1037,True,10477,Z3 solved (smt_convolution_b16)
16,32,2369625997,0.3369,True,48541,Z3 solved (smt_convolution_b16)
20,20,370817,0.0247,True,601,Z3 solved (smt_convolution_b20)
20,24,8998631,0.1502,True,2963,Z3 solved (smt_convolution_b20)
20,28,127285073,0.2896,True,10477,Z3 solved (smt_convolution_b20)
20,32,2369625997,2.7804,True,48541,Z3 solved (smt_convolution_b20)
32,20,370817,0.0293,True,601,Z3 solved (smt_convolution_b32)
32,24,8998631,0.0994,True,2963,Z3 solved (smt_convolution_b32)
32,28,127285073,0.2797,True,10477,Z3 solved (smt_convolution_b32)
32,32,2369625997,3.9401,True,48541,Z3 solved (smt_convolution_b32)
64,20,370817,0.0243,True,601,Z3 solved (smt_convolution_b64)
64,24,8998631,0.0951,True,2963,Z3 solved (smt_convolution_b64)
64,28,127285073,0.1822,True,10477,Z3 solved (smt_convolution_b64)
64,32,2369625997,0.3467,True,48541,Z3 solved (smt_convolution_b64)
100,20,370817,0.0191,True,601,Z3 solved (smt_convolution_b100)
100,24,8998631,0.0428,True,2963,Z3 solved (smt_convolution_b100)
100,28,127285073,0.3883,True,10477,Z3 solved (smt_convolution_b100)
100,32,2369625997,4.3059,True,48541,Z3 solved (smt_convolution_b100)
128,20,370817,0.0262,True,601,Z3 solved (smt_convolution_b128)
128,24,8998631,0.0592,True,2963,Z3 solved (smt_convolution_b128)
128,28,127285073,0.2102,True,10477,Z3 solved (smt_convolution_b128)
128,32,2369625997,1.3267,True,48541,Z3 solved (smt_convolution_b128)
256,20,370817,0.0279,True,601,Z3 solved (smt_convolution_b256)
256,24,8998631,0.1316,True,2963,Z3 solved (smt_convolution_b256)
256,28,127285073,0.3473,True,10477,Z3 solved (smt_convolution_b256)
256,32,2369625997,2.5272,True,48541,Z3 solved (smt_convolution_b256)
512,20,370817,0.0208,True,601,Z3 solved (smt_convolution_b512)
512,24,8998631,0.1199,True,2963,Z3 solved (smt_convolution_b512)
512,28,127285073,0.2412,True,10477,Z3 solved (smt_convolution_b512)
512,32,2369625997,0.1349,True,48541,Z3 solved (smt_convolution_b512)
