bits,leak_fraction,num_leaked_bits,p_bits,success,runtime_s,factor
32,0.0,0,16,True,0.2467,48541
32,0.1,1,16,True,2.0888,48541
32,0.2,3,16,True,0.7671,48541
32,0.3,4,16,True,0.0836,48541
32,0.4,6,16,True,0.0606,48541
32,0.5,8,16,True,0.0388,48541
32,0.6,9,16,True,0.0392,48541
32,0.7,11,16,True,0.0349,48541
32,0.8,12,16,True,0.0317,48541
48,0.0,0,24,False,30.0038,
48,0.1,2,24,False,30.0041,
48,0.2,4,24,False,30.0169,
48,0.3,7,24,True,5.0713,12133463
48,0.4,9,24,True,5.4787,12133463
48,0.5,12,24,True,0.5326,12133463
48,0.6,14,24,True,0.428,12133463
48,0.7,16,24,True,0.4191,12133463
48,0.8,19,24,True,0.3639,12133463
64,0.0,0,32,False,30.0068,
64,0.1,3,32,False,30.0505,
64,0.2,6,32,False,30.0054,
64,0.3,9,32,False,30.0051,
64,0.4,12,32,False,30.0373,
64,0.5,16,32,True,7.5867,3184935163
64,0.6,19,32,True,0.6986,3184935163
64,0.7,22,32,True,0.4164,3184935163
64,0.8,25,32,True,0.3223,3184935163
80,0.0,0,40,False,30.0993,
80,0.1,4,40,False,30.0114,
80,0.2,8,40,False,30.0076,
80,0.3,12,40,False,30.0074,
80,0.4,16,40,False,30.0065,
80,0.5,20,40,False,30.0062,
80,0.6,24,40,True,0.9702,662870626169
80,0.7,28,40,True,1.0361,662870626169
80,0.8,32,40,True,0.5392,662870626169
96,0.0,0,48,False,30.0152,
96,0.1,4,48,False,30.1197,
96,0.2,9,48,False,30.1157,
96,0.3,14,48,False,30.0114,
96,0.4,19,48,False,30.0094,
96,0.5,24,48,False,30.0089,
96,0.6,28,48,True,12.3067,157973306085299
96,0.7,33,48,True,4.7102,157973306085299
96,0.8,38,48,True,0.8202,157973306085299
128,0.0,0,64,False,30.2339,
128,0.1,6,64,False,30.0257,
128,0.2,12,64,False,30.2049,
128,0.3,19,64,False,30.0203,
128,0.4,25,64,False,30.0189,
128,0.5,32,64,False,30.0154,
128,0.6,38,64,False,30.1174,
128,0.7,44,64,True,8.8517,16231793829986840849
128,0.8,51,64,True,2.1634,16231793829986840849
