bits,n,p,q,base,degree,num_digit_vars,moment_matrix_size,solve_time_s,wall_time_s,solver_status,sos_gap,recovery_success,recovered_p,recovered_q,objective_value,top_eigenvalue,notes
8,143,11,13,2,2,8,9,0.0274,0.0279,optimal,0.0,True,11,13,4.9792,5.9792,
8,143,11,13,2,4,8,45,0.9678,0.9759,optimal,0.0,False,,,20.452,20.452,
8,143,11,13,3,2,6,7,0.0169,0.0172,optimal,0.034085,True,11,13,6.7517,7.4874,
8,143,11,13,3,4,6,28,0.3509,0.3541,optimal,0.0,True,11,13,35.5614,35.5614,
8,143,11,13,5,2,4,5,0.0125,0.0127,optimal,0.045948,False,,,14.366,14.66,
8,143,11,13,5,4,4,15,0.1697,0.1711,optimal,0.0,True,11,13,145.0542,145.0542,
8,143,11,13,10,2,4,5,0.0151,0.0153,optimal,0.092976,False,,,8.6667,8.7679,
8,143,11,13,10,4,4,15,0.6014,0.6029,optimal,0.0,True,11,13,57.9999,57.9999,
10,323,17,19,2,2,10,11,0.032,0.0327,optimal,0.0,True,17,19,4.0185,5.0185,
10,323,17,19,2,4,10,66,2.233,2.2481,optimal,0.0,True,17,19,14.502,14.502,
10,323,17,19,3,2,6,7,0.0172,0.0175,optimal,0.021897,False,,,10.1461,10.902,
10,323,17,19,3,4,6,28,0.3598,0.3631,optimal,1e-06,False,,,73.4881,73.488,
10,323,17,19,5,2,4,5,0.0143,0.0145,optimal,0.007531,True,17,19,27.0994,27.8878,
10,323,17,19,5,4,4,15,0.2201,0.2215,optimal,0.0,True,17,19,515.5854,515.586,
10,323,17,19,10,2,4,5,0.0126,0.0128,optimal,0.071191,False,,,11.2748,11.401,
10,323,17,19,10,4,4,15,0.8236,0.8248,optimal_inaccurate,8.7e-05,False,,,65.7199,66.2373,
12,1927,41,47,2,2,12,13,0.0578,0.0586,optimal,0.0,False,,,5.2098,6.2098,
12,1927,41,47,2,4,12,91,5.6076,5.6385,optimal,2e-06,False,,,21.7433,21.7433,
12,1927,41,47,3,2,8,9,0.0242,0.0249,optimal,0.063888,False,,,6.6878,7.1966,
12,1927,41,47,3,4,8,45,0.9363,0.9442,optimal,0.0,False,,,34.464,34.464,
12,1927,41,47,5,2,6,7,0.0172,0.0175,optimal,0.0718,False,,,9.5534,9.7956,
12,1927,41,47,5,4,6,28,0.4011,0.4048,optimal,0.0,False,,,67.2079,67.2079,
12,1927,41,47,10,2,4,5,0.0256,0.0259,optimal,0.014872,False,,,48.0343,48.3051,
12,1927,41,47,10,4,4,15,0.8556,0.857,optimal_inaccurate,3.2e-05,False,,,579.4257,580.0564,
14,5293,67,79,2,2,14,15,0.0689,0.0701,optimal,1e-06,False,,,4.3505,5.3505,
14,5293,67,79,2,4,14,120,13.7767,13.8251,optimal,5e-06,False,,,16.269,16.2691,
14,5293,67,79,3,2,8,9,0.0311,0.0317,optimal,0.0,False,,,17.0037,18.0037,
14,5293,67,79,3,4,8,45,0.8729,0.8822,optimal,1e-06,False,,,189.3732,189.3732,
14,5293,67,79,5,2,6,7,0.0205,0.0208,optimal,0.011767,False,,,21.7325,22.465,
14,5293,67,79,5,4,6,28,0.7438,0.7479,optimal,2e-06,False,,,319.0876,319.0872,
14,5293,67,79,10,2,4,5,0.0189,0.0192,optimal,0.002939,False,,,106.8795,107.5624,
14,5293,67,79,10,4,4,15,0.8782,0.8796,optimal_inaccurate,0.001434,False,,,757.86,757.3524,
16,25591,157,163,2,2,16,17,0.0685,0.0697,optimal,0.0,False,,,5.082,6.082,
16,25591,157,163,2,4,16,153,0.0,0.0,,inf,False,,,inf,,"Moment matrix 153x153 too large, skipping"
16,25591,157,163,3,2,10,11,0.0364,0.0371,optimal,0.013955,False,,,10.1373,10.9819,
16,25591,157,163,3,4,10,66,3.1702,3.1854,optimal,0.0,False,,,71.602,71.602,
16,25591,157,163,5,2,8,9,0.0283,0.0289,optimal,0.074433,False,,,10.2551,10.4174,
16,25591,157,163,5,4,8,45,2.6324,2.6402,optimal,0.0,False,,,70.5299,70.5299,
16,25591,157,163,10,2,6,7,0.0276,0.0281,optimal,0.04068,False,,,21.0887,21.1902,
16,25591,157,163,10,4,6,28,2.4751,2.4789,optimal_inaccurate,0.000104,False,,,264.0427,264.0945,
